517699882027458561,Thu Oct 02 15:37:24 +0000 2014,"With training over, @willianborges88, @petrcech &amp; Kurt Zouma are off to Canary Wharf to visit @Delta #DeltaMovieStar http://t.co/KYAh28V7n3"
517825104529883136,Thu Oct 02 23:55:00 +0000 2014,Why isn't there a Chipotle on this plane? @Delta
517702201406287872,Thu Oct 02 15:46:37 +0000 2014,"They’ll be at Canary Wharf shortly, and @Delta are running a competition to win a trip to LA: http://t.co/olnsiA4s88 http://t.co/UbQ9APMo91"
517858249790730241,Fri Oct 03 02:06:42 +0000 2014,@DeltaAssist @Delta I'm joking. Kind of.
517858176323309569,Fri Oct 03 02:06:25 +0000 2014,"@DeltaAssist I love @Delta, but who is going to cover the blowout I paid for at the salon earlier which is now matted w/ sweat from running?"
517858027618435072,Fri Oct 03 02:05:49 +0000 2014,@mazerino @Delta @united I can now see why @thepointsguy has been preaching. #baddelta.
517857729768353793,Fri Oct 03 02:04:38 +0000 2014,@Delta R u fuckin kidding me u delayed a plane so fuckin late my cousin won't be here tell morning he was supposed to be here now 😡
517857376691838978,Fri Oct 03 02:03:14 +0000 2014,No thanks to @Delta for your dropped calls as I attempt to change my flight and lack of assistance or remorse for the technical failure.
517857268126081024,Fri Oct 03 02:02:48 +0000 2014,"@TrippDudley @Delta hey delta, @United lets you bring 2 companions. Get w the times #whysofrugal"
517856961015324672,Fri Oct 03 02:01:35 +0000 2014,@delta why am I bumped off my flight for getting to gate 5 min before departure when Delta flight was reason I am late?  Not cool at all
517856883558727681,Fri Oct 03 02:01:17 +0000 2014,@Delta What is cost for domestic 3rd checked bag?
517856258171621376,Fri Oct 03 01:58:47 +0000 2014,“@HoodieAllen: Why isn't there a Chipotle on this plane? @Delta” ughhhh ❤
517855857212940289,Fri Oct 03 01:57:12 +0000 2014,"Hey @Delta why did you kick a Breastfeeding mother and her child off a flight, leaving them stranded? #shameondelta #misogyny"
517855304453599232,Fri Oct 03 01:55:00 +0000 2014,@Delta @DeltaAssist literally 20 minutes watching the gate agent try to pull the gate up to the door on DL1115 in PHX..wow
517854665183346688,Fri Oct 03 01:52:28 +0000 2014,@Delta
517854480487153665,Fri Oct 03 01:51:44 +0000 2014,@Delta you and other airlines have no concept of good customer treatment.
517854472782217216,Fri Oct 03 01:51:42 +0000 2014,@TheXclass You are such a nerd. :) @Delta
517854376669769728,Fri Oct 03 01:51:19 +0000 2014,"@united seems indifferent to delays, which is why I'm now a 100k mile flyer with @Delta"
517854306671034368,Fri Oct 03 01:51:02 +0000 2014,@Delta board us and then tell us the flight plan won't work;looking for a better one. Wtf did you board us? We're just sitting at the gate.
517854122737819648,Fri Oct 03 01:50:18 +0000 2014,Cannot see how they're gonna make that work. MT: #Ferrari 330 LM Berlinetta → @Delta C-46 Air Freighter. #AvGeek #TBT http://t.co/AdxvWriwW0
517853960175366144,Fri Oct 03 01:49:40 +0000 2014,"Thanks to @Delta ending inflight live TV, I missed 2 ALDS games, 1 NFL game, Scandal, and Parenthood. #NeverForget"
517853839064432640,Fri Oct 03 01:49:11 +0000 2014,@Delta do you have a domestic bag drop off after customs when arriving off a Virgin Australia flight from SYD-LAX?
517853430195703808,Fri Oct 03 01:47:33 +0000 2014,@Emirates fly Into #US &amp; US Airlines Anxious | http://t.co/OlcLvcbMMy   @DubaiGovernment @qatarairways @EtihadAirways @AmericanAir @Delta
